"peak.num","subclass","Title","mz","rt","Adduct","MS2.score1","MS2.score2","rule1.score.Stand","rule2.score.Stand","final.score","top_n"
171,"NAE","NAE 9:0_CAH_NAE 9:0",202.18,1.0832,"[M+H]+",1,0.2012,0.87499091889131,0.861895153371834,2.93808607226314,"Top 1"
651,"NAE","NAE 11:1_CAH_NAE 11:1",228.196,2.7372,"[M+H]+",1,0.0066,0.873973532994779,0.873973532994779,2.75454706598956,"Top 1"
457,"NAE","NAE 14:0_CAH_NAE 14:0",272.258,2.06,"[M+H]+",1,0.087,0.864615326563834,0.823318582533726,2.77493390909756,"Top 1"
4468,"TG","TG 66:2_CAH_TG 18:1_24:0_24:1",1073.02,16.0323,"[M+NH4]+",1,0.0396,0.873818867617533,0.874986413434371,2.7884052810519,"Top 1"
4399,"TG","TG 64:2_CAH_TG 16:0_24:1_24:1",1044.99,15.7877,"[M+NH4]+",0.5,0.015,0.874361059609481,0.874761932303757,2.26412299191324,"Top 1"
4148,"TG","TG 64:6_CAH_TG 16:4_24:1_24:1",1036.93,14.9106,"[M+NH4]+",0.5,0.0109,0.874984950541023,0.874993704825539,2.26087865536656,"Top 1"
4565,"TG-O","TG-O 64:1_CAH_TG-O 24:0_16:0_24:1",1033.03,16.3791,"[M+NH4]+",1,0.0336,0.874865656322251,0.874913048537232,2.78337870485948,"Top 1"
4503,"TG-O","TG-O 64:2_CAH_TG-O 20:0_18:1_26:1",1031.01,16.1623,"[M+NH4]+",0.6667,0.0188,0.87453085724461,0.874899743176795,2.4349306004214,"Top 1"
230,"CAR","CAR 9:1_CAH_CAR 9:1",300.217,1.2869,"[M]+",0.5,0.0667,0.804711726120887,0.804711726120888,2.17612345224178,"Top 2"
230,"MG","MG 13:3_CAH_MG 13:3",300.217,1.2869,"[M+NH4]+",1,0.0667,0.800219589680409,0.800219589680409,2.66713917936082,"Top 1"
528,"NAE","NAE 16:0_CAH_NAE 16:0",300.29,2.3039,"[M+H]+",1,0.098,0.870279874971479,0.836944622089622,2.8052244970611,"Top 1"
4422,"TG","TG 62:1_CAH_TG 18:1_22:0_22:0",1018.98,15.8774,"[M+NH4]+",0.5,0.0157,0.874831482336927,0.874548808251903,2.26508029058883,"Top 1"
4180,"TG-O","TG-O 64:8_CAH_TG-O 24:2_20:3_20:3",1018.92,15.022,"[M+NH4]+",0.5,0.01,0.5,0.5,1.51,"Top 1"
4321,"TG","TG 62:2_CAH_TG 20:0_20:0_22:2",1016.96,15.5135,"[M+NH4]+",0.5,0.0048,0.872355261219441,0.874055439463288,2.25121070068273,"Top 1"
4257,"TG","TG 62:3_CAH_TG 18:0_20:2_24:1",1014.94,15.293,"[M+NH4]+",0.6667,0.0313,0.874783929811522,0.874832206388289,2.44761613619981,"Top 1"
4495,"TG-O","TG-O 62:1_CAH_TG-O 22:0_16:0_24:1",1005,16.1315,"[M+NH4]+",0.6667,0.0449,0.873879418331016,0.874721931906671,2.46020135023769,"Top 1"
4427,"TG-O","TG-O 62:2_CAH_TG-O 24:1_16:0_22:1",1002.98,15.8892,"[M+NH4]+",1,0.0315,0.870328003099135,0.870758381586515,2.77258638468565,"Top 1"
4375,"TG-O","TG-O 62:3_CAH_TG-O 24:1_16:0_22:2",1000.96,15.7083,"[M+NH4]+",0.6667,0.0188,0.874937726418517,0.874937726418516,2.43537545283703,"Top 1"
3719,"TG","TG 62:11_CAH_TG 18:0_22:5_22:6",998.816,13.4222,"[M+NH4]+",0.6667,0.0222,0.5,0.5,1.6889,"Top 1"
4213,"TG-O","TG-O 62:6_CAH_TG-O 22:0_20:3_20:3",994.916,15.1436,"[M+NH4]+",0.5,0.0093,0.5,0.5,1.5093,"Top 1"
216,"MG","MG 13:0_CAH_MG 13:0",306.263,1.2321,"[M+NH4]+",1,0.1685,0.871992029056376,0.871992029056376,2.91248405811275,"Top 1"
4403,"TG","TG 60:0_CAH_TG 18:0_18:0_24:0",992.959,15.8089,"[M+NH4]+",0.5,0.0252,0.874834162747192,0.874881765629019,2.27491592837621,"Top 1"
4159,"TG-O","TG-O 62:7_CAH_TG-O 24:1_16:0_22:6",992.901,14.948,"[M+NH4]+",1,0.0336,0.5,0.5,2.0336,"Top 1"
4343,"TG","TG 60:1_CAH_TG 16:0_18:0_26:1",990.943,15.5988,"[M+NH4]+",1,0.0568,0.871781737387499,0.872277913837458,2.80085965122496,"Top 1"
4405,"TG-O","TG-O 61:2_CAH_TG-O 25:0_18:1_18:1",988.965,15.8136,"[M+NH4]+",0.5,0.0136,0.869892114268549,0.87316156009516,2.25665367436371,"Top 1"
4245,"TG","TG 60:2_CAH_TG 20:1_20:0_20:1",988.928,15.2531,"[M+NH4]+",0.5,0.006,0.874476983254307,0.871437082214051,2.25191406546836,"Top 1"
4175,"TG","TG 60:3_CAH_TG 18:0_20:1_22:2",986.912,15.0087,"[M+NH4]+",0.6667,0.0158,0.874871407226264,0.87480301255294,2.4321744197792,"Top 1"
3978,"TG","TG 60:6_CAH_TG 18:1_20:0_22:5",980.864,14.32,"[M+NH4]+",0.6667,0.0269,0.874321542290405,0.87494845624685,2.44286999853726,"Top 1"
4420,"TG-O","TG-O 60:1_CAH_TG-O 24:1_16:0_20:0",976.965,15.8622,"[M+NH4]+",0.6667,0.0254,0.867517140990032,0.870034606309723,2.42965174729975,"Top 1"
3808,"TG","TG 60:8_CAH_TG 16:0_22:5_22:3",976.833,13.7323,"[M+NH4]+",0.6667,0.0194,0.5,0.5,1.6861,"Top 1"
3870,"TG","TG 60:8_CAH_TG 18:0_20:2_22:6",976.833,13.9463,"[M+NH4]+",0.6667,0.0349,0.5,0.5,1.7016,"Top 1"
4359,"TG-O","TG-O 60:2_CAH_TG-O 24:2_18:0_18:0",974.949,15.648,"[M+NH4]+",0.5,0.0092,0.874952721559011,0.874978591932246,2.25913131349126,"Top 1"
4218,"TG","TG 59:2_CAH_TG 17:0_18:0_24:2",974.912,15.1553,"[M+NH4]+",0.6667,0.0149,0.874860032560153,0.874413452280143,2.4308734848403,"Top 1"
4296,"TG-O","TG-O 60:3_CAH_TG-O 22:0_18:1_20:2",972.932,15.4306,"[M+NH4]+",0.6667,0.0304,0.874895612332089,0.874895612332089,2.44689122466418,"Top 1"
3681,"TG","TG 60:10_CAH_TG 19:2_19:2_22:6",972.801,13.2896,"[M+NH4]+",0.5,0.0139,0.5,0.5,1.5139,"Top 1"
3595,"TG","TG 60:11_CAH_TG 16:1_22:5_22:5",970.786,12.9946,"[M+NH4]+",0.5,0.0098,0.5,0.5,1.5098,"Top 1"
4325,"TG","TG 58:0_CAH_TG 16:0_21:0_21:0",964.928,15.533,"[M+NH4]+",0.5,0.0618,0.873719201461823,0.874976669758042,2.31049587121987,"Top 1"
4041,"TG-O","TG-O 60:7_CAH_TG-O 18:0_18:1_24:6",964.869,14.5366,"[M+NH4]+",0.6667,0.0223,0.5,0.5,1.689,"Top 1"
4395,"TG-O","TG-O 59:1_CAH_TG-O 23:1_18:0_18:0",962.948,15.7783,"[M+NH4]+",0.5,0.0128,0.872437696016401,0.871325627370383,2.25656332338678,"Top 1"
4235,"TG","TG 58:1_CAH_TG 18:0_18:0_22:1",962.912,15.2181,"[M+NH4]+",0.5,0.0373,0.863094779770022,0.873737175899401,2.27413195566942,"Top 1"
